adult,also_known_as,biography,birthday,deathday,gender,homepage,id,imdb_id,known_for_department,name,place_of_birth,popularity,profile_path
False,['Джеффри Раш'],"Geoffrey Roy Rush (born 6 July 1951) is an Australian actor and film producer. As of November 2009, he was one of 25 people to have won the ""Triple Crown of Acting"": an Academy Award, a Tony Award and an Emmy Award. Apart from being nominated for 4 Academy Awards for acting (winning 1) and 5 BAFTA Awards (winning 3), he has also won 2 Golden Globe and 3 Screen Actors Guild Awards.

Description above from the Wikipedia article Geoffrey Rush, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1951-07-06,,2,,118,nm0001691,Acting,Geoffrey Rush,"Toowoomba, Queensland, Australia",15.128,/t69hkD07olTK8o2CwuNnC1wg5Es.jpg
False,"['Кейт Уинслет', '케이트 윈슬렛', 'Kate Elizabeth Winslet', 'Κέιτ Ελίζαμπεθ Γουίνσλετ', 'Κέιτ Γουίνσλετ', 'کیت وینسلت', '凯特·温丝莱特', '凯特·温斯莱特', 'ケイト・ウィンスレット']","Kate Elizabeth Winslet (born 5 October 1975) is an English actress. Known for her work in independent films, particularly period dramas, as well as for her portrayals of headstrong and complicated women, she has received numerous accolades, including an Academy Award, a Grammy Award, two Primetime Emmy Awards, three British Academy Film Awards, and five Golden Globe Awards.

Winslet studied drama at the Redroofs Theatre School. Her first screen appearance, at age 15, was in the British television series Dark Season (1991). She made her film debut playing a teenage murderess in Heavenly Creatures (1994), and went on to win a BAFTA Award for playing Marianne Dashwood in Sense and Sensibility (1995). Global stardom followed soon after with her leading role in the epic romance Titanic (1997), which earned her a nomination for the Academy Award for Best Actress in a Leading Role. Titanic was the highest-grossing film at the time, after which she eschewed parts in blockbusters in favour of critically acclaimed period pieces, including Quills (2000) and Iris (2001).

The science fiction romance Eternal Sunshine of the Spotless Mind (2004), in which Winslet was cast against type in a contemporary setting, proved to be a turning point in her career, and she gained further recognition for her performances in Finding Neverland (2004), Little Children (2006), Revolutionary Road (2008), and The Reader (2008). For playing a former Nazi camp guard in the latter, she won the BAFTA Award and the Academy Award for Best Actress. Winslet's portrayal of Joanna Hoffman in the biopic Steve Jobs (2015) won her another BAFTA Award, and she won two Primetime Emmy Awards for her performances in the HBO miniseries Mildred Pierce (2011) and Mare of Easttown (2021).

For her narration of a short story in the audiobook Listen to the Storyteller (1999), Winslet won a Grammy Award. She performed the song ""What If"" for the soundtrack of her film Christmas Carol: The Movie (2001). A co-founder of the charity Golden Hat Foundation, which aims to create autism awareness, she has written a book on the topic, The Golden Hat: Talking Back to Autism (2010). Time magazine named her one of the 100 most influential people in the world in 2009 and 2021. In 2012, she was appointed Commander of the Order of the British Empire (CBE). Divorced from film directors Jim Threapleton and Sam Mendes, Winslet has been married to businessman Edward Abel Smith since 2012. She has a child from each marriage.",1975-10-05,,1,https://cuevana3.ltd/actor/kate-winslet/,204,nm0000701,Acting,Kate Winslet,"Reading, Berkshire, England, UK",43.124,/e3tdop3WhseRnn8KwMVLAV25Ybv.jpg
False,"['克尔斯滕·邓斯特', 'Кирстен Данст', 'Кірстен Данст', '克斯汀·鄧斯特', 'เคียร์สเต็น ดันสต์', 'キルスティン・ダンスト', '커스틴 던스트', 'كيرستين دانست', 'Κίρστεν Κάρολαϊν Ντανστ', 'Κίρστεν Ντανστ', 'Kirsten Caroline Dunst', '克斯汀·邓斯特']","Kirsten Caroline Dunst (born April 30, 1982) is an American actress. She has received various accolades, including a Cannes Film Festival Award for Best Actress, in addition to nominations for an Academy Award, a Primetime Emmy Award, and four Golden Globe Awards. She made her acting debut in the short Oedipus Wrecks directed by Woody Allen in the anthology film New York Stories (1989). She then gained recognition for her role as child vampiress Claudia in the horror film Interview with the Vampire (1994), which earned her a Golden Globe nomination for Best Supporting Actress. She also had roles in her youth in Little Women (1994) and the fantasy films Jumanji (1995) and Small Soldiers (1998).

In the late 1990s, Dunst transitioned to leading roles in a number of teen films, including the political satire Dick (1999) and the Sofia Coppola-directed drama The Virgin Suicides (1999). In 2000, she starred in the lead role in the cheerleading film Bring It On, which has become a cult classic. She gained further wide attention for her role as Mary Jane Watson in Sam Raimi's Spider-Man (2002) and its sequels Spider-Man 2 (2004) and Spider-Man 3 (2007). Her career progressed with a supporting role in Eternal Sunshine of the Spotless Mind (2004), followed by a lead role in Cameron Crowe's tragicomedy Elizabethtown (2005), and as the title character in Coppola's Marie Antoinette (2006).

In 2011, Dunst starred as a depressed newlywed in Lars von Trier's science fiction drama Melancholia, which earned her the Cannes Film Festival Award for Best Actress. In 2015, she played Peggy Blumquist in the second season of the FX series Fargo, which earned Dunst a Primetime Emmy Award nomination. She then had a supporting role in the film Hidden Figures (2016) and leading roles in The Beguiled (2017), and the black comedy series On Becoming a God in Central Florida (2019), for which she received a third Golden Globe nomination. She earned nominations for her fourth Golden Globe and first Academy Award nomination for her performance in the psychological drama The Power of the Dog (2021).",1982-04-30,,1,,205,nm0000379,Acting,Kirsten Dunst,"Point Pleasant, New Jersey, USA",31.5,/6RAAxI4oPnDMzXpXWgkkzSgnIAJ.jpg
False,"['Джим Керри', '占·基利', 'จิม แคร์รีย์', 'ジム・キャリー', 'جيم كاري', '짐 캐리', 'Τζιμ Κάρεϊ', '金·凯瑞', 'جیم کری']","James Eugene Carrey (born January 17, 1962) is a Canadian and American actor, comedian, writer, and producer. Known for his energetic slapstick performances, Carrey first gained recognition in 1990, after landing a recurring role in the American sketch comedy television series In Living Color (1990–1994). He broke out as a star in motion pictures with Ace Ventura: Pet Detective, The Mask, and Dumb and Dumber (all 1994). This was followed up with Ace Ventura: When Nature Calls, Batman Forever (both 1995), and Liar Liar (1997).

In the 2000s, he gained further notice for his portrayal of the Grinch in How the Grinch Stole Christmas and for the comedy Me, Myself & Irene (both in 2000), as well as Bruce Almighty (2003), Lemony Snicket's A Series of Unfortunate Events (2004), Fun with Dick and Jane (2005), Yes Man, Horton Hears a Who! (both 2008), and A Christmas Carol (2009). In the 2010s, Carrey appeared in the films Mr. Popper's Penguins (2011), The Incredible Burt Wonderstone, Kick-Ass 2 (both 2013), Dumb and Dumber To (2014), and portrayed Leap Day William in the sitcom 30 Rock (2012). In 2020, he portrayed Dr. Robotnik in Sonic the Hedgehog and Joe Biden in six episodes of Saturday Night Live in the leadup to the 2020 United States presidential election.

Although largely typecast as a comedic actor, Carrey has had success in dramatic roles. His first dramatic success was starring in the Emmy-nominated made-for-television film Doing Time on Maple Drive (1992). Carrey gained attention for his leading roles in The Truman Show (1998) and Man on the Moon (1999), earning Golden Globe Awards for each film. He later starred in the psychological science fiction romantic drama film Eternal Sunshine of the Spotless Mind (2004); this performance is repeatedly lauded as one of the most important and seminal in Carrey's career and for which he was nominated for both the BAFTA Award for Best Actor in a Leading Role and another Golden Globe Award. He was also praised for his dramatic role of Jeff Piccirillo in the Showtime tragicomedy series Kidding, for which he was nominated for another Golden Globe. The Guardian named him one of the best actors never to have received an Academy Award nomination.

In 2013, Carrey published his first book, a children's story, entitled How Roland Rolls; the book was awarded a 2013 Gelett Burgess Children's Book Award. In 2020, Carrey published his first novel, Memoirs, and Misinformation, which he co-authored with Dana Vachon",1962-01-17,,2,http://www.jimcarrey.com,206,nm0000120,Acting,Jim Carrey,"Newmarket, Ontario, Canada",17.442,/kuSlwTPsVlBMW0cvnFmbZce6PaV.jpg
False,"['William McChord Hurt', 'William M. Hurt', 'Γουίλιαμ Χερτ', '윌리엄 허트']","William Hurt (March 20, 1950 – March 13, 2022) was an American stage, film and television actor, trained at the Juilliard School, Manhattan, New York, USA. For his leading role in the feature film ""Kiss of the Spider Woman"", he received an Academy Award in 1986, followed by 3 more nominations for roles in the movies ""Children of a Lesser God"", ""Broadcast News"", and ""A History of Violence"".",1950-03-20,2022-03-13,2,,227,nm0000458,Acting,William Hurt,"Washington, District of Columbia, USA",19.287,/j3mjmuHLBW4XQSw53C8Sh0Lh3ZQ.jpg
False,"['Джонатан Прайс', '조너선 프라이스']","Jonathan Pryce, CBE (born 1 June 1947) is a Welsh stage and film actor and singer.

After studying at the Royal Academy of Dramatic Art and meeting his long time partner, English actress Kate Fahy, in 1974, he began his career as a stage actor in the 1970s. His work in theatre, including an award-winning performance in the title role of the Royal Court Theatre's ""Hamlet"", led to several supporting roles in film and television. He made his breakthrough screen performance in Terry Gilliam's 1985 cult film ""Brazil"". Critically lauded for his versatility, Pryce has participated in big-budget films such as ""Evita"", ""Tomorrow Never Dies"", ""Pirates of the Caribbean"" and ""The New World"", as well as independent projects such as ""Glengarry Glen Ross"" and ""Carrington"". His career in theatre has also been prolific, and he has won two Tony Awards—the first in 1977 for his Broadway debut in ""Comedians"", the second for his 1991 role as ""The Engineer"" in the musical ""Miss Saigon"".",1947-06-01,,2,,378,nm0000596,Acting,Jonathan Pryce,"Carmel, Flintshire, Wales, UK",20.91,/zwSv5uXzPTtmitFe39UdqnVwmdL.jpg
False,[],"Beverly D'Angelo (born November 15, 1951) is an American actress and singer.

Description above from the Wikipedia article Beverly D'Angelo, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1951-11-15,,1,,821,nm0000350,Acting,Beverly D'Angelo,"Columbus, Ohio, USA",32.181,/8fYQIA8dAaA4GOTxOFSKIvTqzi.jpg
False,"['Скарлетт Йоганссон', 'Скарлетт Йоханссон', '스칼릿 조핸슨', 'سكارليت جوهانسون', '史嘉蕾·喬韓森', 'สการ์เลตต์ โจแฮนส์สัน', 'スカーレット・ヨハンソン', '斯嘉丽·约翰逊', '스칼렛 요한슨', 'Σκάρλετ Τζοχάνσον', 'اسکارلت جوهانسون']","Scarlett Ingrid Johansson (born November 22, 1984) is an American actress. The world's highest-paid actress in 2018 and 2019, she has featured multiple times on the Forbes Celebrity 100 list. Her films have grossed over $14.3 billion worldwide, making Johansson the ninth-highest-grossing box office star of all time. She has received various accolades, including a Tony Award and a British Academy Film Award, in addition to nominations for two Academy Awards and five Golden Globe Awards.

Johansson aspired to be an actress from an early age and first appeared on stage in an Off-Broadway play as a child actor. She made her film debut in the fantasy comedy North (1994), and gained early recognition for her roles in Manny & Lo (1996), The Horse Whisperer (1998), and Ghost World (2001). Johansson shifted to adult roles in 2003 with her performances in Lost in Translation, which won her a BAFTA Award for Best Actress, and Girl with a Pearl Earring. She was nominated for Golden Globe Awards for these films, and for playing a troubled teenager in the drama A Love Song for Bobby Long (2004) and a seductress in psychological thriller Match Point (2005). The latter was her first collaboration with Woody Allen, who later directed her in Scoop (2006) and Vicky Cristina Barcelona (2008).

Johansson's other works of this period include The Prestige (2006) and the albums Anywhere I Lay My Head (2008) and Break Up (2009), both of which charted on the Billboard 200. In 2010, Johansson debuted on Broadway in a revival of A View from the Bridge, which won her a Tony Award for Best Featured Actress, and began portraying Black Widow in the Marvel Cinematic Universe film Iron Man 2. She reprised the role in eight films, most recently in her solo feature Black Widow (2021), gaining global recognition for her performances. During this period, Johansson starred in the science fiction films Her (2013), Under the Skin (2013) and Lucy (2014).

She received two simultaneous Academy Award nominations—Best Actress and Best Supporting Actress—for the respective roles of an actress going through a divorce in the drama Marriage Story (2019) and a single mother in Nazi Germany in the satire Jojo Rabbit (2019). Labeled a sex symbol, Johansson has been referred to as one of the world's most attractive women by various media outlets. She is a prominent brand endorser and supports several charitable causes. Divorced from actor Ryan Reynolds and businessman Romain Dauriac, Johansson has been married to comedian Colin Jost since 2020. She has two children, one with Dauriac and another with Jost.",1984-11-22,,1,,1245,nm0424060,Acting,Scarlett Johansson,"New York City, New York, USA",64.593,/6bBCPmc55gzP7TR9Th4WbykrYd0.jpg
False,['Jack Arthur Davenport'],"Jack Davenport is a British film and television actor, best known for his roles in television series' such as ""This Life"" and ""Coupling"", as well as the ""Pirates of the Caribbean"" franchise of feature films.",1973-03-01,,2,,1709,nm0202603,Acting,Jack Davenport,"Suffolk, England, UK",24.321,/shGH0YWJBfiJznidS0f2ZfN056c.jpg
False,"['Lee Arenburg', 'Lee Ahrenberg']",,1962-07-18,,2,,1710,nm0034305,Acting,Lee Arenberg,"Palo Alto, California, USA",7.946,/sjv8tdXzLwC8lZi6Ou6i6z5RbrW.jpg
False,['Paul Mackenzie Crook '],"Paul Mackenzie Crook (born 29 September 1971) is a British actor and comedian. He shot to fame playing Gareth Keenan in the BBC sitcom The Office and went on to play Ragetti in the Pirates of the Caribbean films. More recently, he has written, directed and starred in the BBC4 sitcom Detectorists and the BBC1 revival of childrens' favourite, Worzel Gummidge.",1971-09-29,,2,,1711,nm0188871,Acting,Mackenzie Crook,Maidstone - Kent - England - UK,13.763,/r17GbBnCjJjwUaRM3KY2e8GBjbG.jpg
False,[],Damian O'Hare  is an Irish actor.,1977-08-13,,2,,1712,nm1400933,Acting,Damian O'Hare,"Belfast, Northern Ireland, UK",3.582,/bO6TMDYluACYKy7zWEloym1SUa5.jpg
False,[],,,,2,,1713,nm1099016,Acting,Giles New,,3.793,/e0Ap9fkLAFcxLVHpK8KH2TQV3wI.jpg
